"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.090209000E0,-4.394182563E-1,-5.619460756E-1,-3.181698663E0,3.260686764E0
1.100212000E0,-8.430322570E-1,-7.383448774E-1,-1.800282270E0,2.120583127E0
1.110215000E0,-2.366714914E0,-2.267102918E0,-6.957406023E-1,3.350395516E0
1.120218000E0,-3.899111093E0,-3.294973263E0,-8.884113282E-2,5.105664390E0
1.130221000E0,-3.697102656E0,-2.900172771E0,4.517633365E-1,4.720557198E0
1.140224000E0,-1.996471558E0,-1.259617136E0,5.756874709E-1,2.429804535E0
1.150227000E0,-1.406875169E-1,5.394968605E-1,1.275249521E0,1.391801416E0
1.160230000E0,7.785228503E-1,2.031683491E0,1.640134635E0,2.724679294E0
1.170233000E0,1.022559904E0,2.596783555E0,1.660138544E0,3.247302507E0
1.180236000E0,6.237341881E-1,2.405338113E0,1.491801153E0,2.898304065E0
1.190239000E0,-5.450844598E-1,1.666765194E0,1.462569898E0,2.283491622E0
1.200243000E0,-1.340107568E0,1.030596317E0,1.822710728E0,2.486019199E0
1.210246000E0,-1.258413779E0,9.518407542E-1,1.860071512E0,2.439153970E0
1.220249000E0,-1.800053059E0,4.687157303E-1,1.172846795E0,2.198966816E0
1.230252000E0,-2.091649611E0,1.735003370E-1,7.002107987E-1,2.212554095E0
1.240255000E0,-4.378354150E-1,1.318632499E0,2.521059188E-1,1.412107968E0
1.250258000E0,1.494200411E0,3.226336892E0,-7.801340505E-1,3.640122765E0
1.260261000E0,3.259770686E0,4.750909495E0,-1.804722646E0,6.037737141E0
1.270264000E0,4.713037372E0,5.279721739E0,-1.907120256E0,7.329753787E0
1.280267000E0,5.585171514E0,5.747132955E0,-1.320544538E0,8.122038902E0
1.290270000E0,4.277641123E0,6.121389256E0,-1.696232822E0,7.658121557E0
1.300273000E0,2.300036775E0,4.947243209E0,-3.799741463E0,6.648565239E0
1.310276000E0,1.900617567E0,4.519474361E0,-4.294420293E0,6.517671462E0
1.320279000E0,6.970892626E-1,4.050993689E0,-3.692267008E0,5.525334286E0
1.330282000E0,-8.726448959E-1,2.773232058E0,-3.479754049E0,4.534425366E0
1.340285000E0,-6.625848430E-1,2.340995352E0,-3.210778036E0,4.028445544E0
1.350288000E0,2.855774277E-1,3.499769068E0,-3.470194728E0,4.936819770E0
1.360291000E0,1.111887233E0,5.239714504E0,-3.894120202E0,6.622316321E0
1.370294000E0,2.389559401E0,5.411099904E0,-3.829692364E0,7.046739665E0
1.380297000E0,2.340117100E0,3.143034534E0,-2.914636443E0,4.883637959E0
1.390300000E0,4.639941037E-1,1.669651964E0,-1.588268078E0,2.350664523E0
1.400303000E0,-3.660473943E-2,1.343532867E0,-9.359854442E-1,1.637830645E0
1.410306000E0,7.407504219E-1,7.710746670E-1,7.593252718E-1,1.311427542E0
1.420310000E0,1.043828566E0,-2.239775956E-2,2.558340743E0,2.763184231E0
1.430313000E0,8.670204592E-1,-4.009055704E-1,3.044029478E0,3.190386374E0
1.440316000E0,5.187070853E-1,-6.584415060E-1,3.354677428E0,3.457811866E0
1.450319000E0,1.479228616E-2,-1.139621746E0,3.848457833E0,4.013674654E0
1.460322000E0,-9.454591030E-1,-1.947449087E0,4.273924633E0,4.790916679E0
1.470324917E0,-1.416010859E0,-1.561917601E0,3.147641555E0,3.788445684E0
1.480327917E0,-1.621872611E0,-1.308637853E0,1.041799582E0,2.329882007E0
1.490330917E0,-1.791407951E0,-1.012197176E0,-1.633292516E-1,2.064064441E0
1.500333917E0,-1.795617946E0,2.139338332E-1,-9.727137060E-1,2.053334714E0
1.510336917E0,-1.519200767E0,-3.296648490E-1,-2.400686653E0,2.860060539E0
1.520339917E0,-1.526484058E0,-1.657184239E0,-3.588411103E0,4.237110740E0
1.530342917E0,-2.233324723E0,-1.867383455E0,-2.523609744E0,3.852721950E0
1.540345917E0,3.031243372E-1,1.430747597E0,-2.716138675E0,3.084855321E0
1.550348917E0,4.511417482E0,2.746686283E0,-2.313401318E0,5.766194490E0
1.560351917E0,4.409796383E0,-1.135293345E0,3.034409055E0,5.472004516E0
1.570354917E0,2.829402165E0,-2.597744544E0,4.421345803E0,5.856798788E0
1.580357917E0,2.815200448E0,-1.117223986E0,3.627706146E0,4.725864459E0
1.590360917E0,1.008186278E0,-2.545567500E0,2.724939319E0,3.862854872E0
1.600363917E0,-1.376785398E-1,-3.706740621E0,1.643224888E0,4.056977871E0
1.610366917E0,-1.599580686E0,-4.408928948E0,1.371376723E-1,4.692133799E0
1.620369917E0,-2.996781052E0,-5.470999950E0,-1.335833253E0,6.379419065E0
1.630373917E0,-3.439339848E0,-5.299250854E0,-1.701709324E0,6.542700729E0
1.640376917E0,-3.593436200E0,-4.947662455E0,-1.408929296E0,6.275127828E0
1.650379917E0,-3.961041293E0,-4.379638491E0,-1.247577719E0,6.035522479E0
1.660382917E0,-4.266344302E0,-3.348899209E0,-9.876473486E-1,5.512918184E0
1.670385917E0,-4.455328651E0,-2.944238265E0,-3.933404428E-1,5.354737067E0
1.680388917E0,-4.297567264E0,-2.676601849E0,5.063665366E-1,5.088191124E0
1.690391917E0,-4.200246207E0,-2.628442427E0,1.954093863E0,5.326280186E0
1.700394917E0,-5.057507663E0,-3.010647432E0,1.631781303E0,6.107789448E0
1.710397917E0,-5.247076734E0,-2.974078945E0,1.049363540E0,6.121937901E0
1.720400917E0,-4.967062347E0,-2.736018623E0,9.745190339E-1,5.753885089E0
1.730403917E0,-4.341524878E0,-3.221042238E0,3.986696682E-1,5.420598571E0
1.740406917E0,-3.085399699E0,-4.128906668E0,-1.407453459E0,5.343078402E0
1.750409917E0,1.575733986E0,-2.164928087E0,-1.665100492E0,3.153158871E0
1.760412917E0,3.317201453E-1,-2.970632304E0,-3.184574177E-1,3.006012253E0
1.770415917E0,1.281595650E0,-2.982577581E0,3.875838590E-1,3.269323735E0
