"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.557431250E-1,9.633486593E-1,3.877950019E0,-4.222543395E0,5.813467959E0
8.657471250E-1,3.572251153E-1,3.874324746E0,-4.209555852E0,5.732221427E0
8.757501250E-1,2.999715185E-1,4.099977568E0,-3.663292885E0,5.506315804E0
8.857531250E-1,2.075925279E-1,4.230026076E0,-2.919509805E0,5.143904428E0
8.957571251E-1,-8.022379875E-1,3.766237795E0,-2.427916405E0,4.552242413E0
9.057601250E-1,-1.096275752E0,3.592031699E0,-1.838440030E0,4.181432051E0
9.157631250E-1,-9.204640102E-1,3.362091697E0,-9.363590813E-1,3.609388162E0
9.257671250E-1,4.471336573E-1,4.734415085E0,-7.947769403E-2,4.756146697E0
9.357701250E-1,1.169847173E0,4.973786060E0,1.392039029E0,5.295740065E0
9.457717917E-1,-1.221531297E0,2.959347178E0,2.257054478E0,3.917163431E0
9.557747917E-1,-3.535474505E0,6.175191826E-1,3.688709562E0,5.146599669E0
9.657787917E-1,-4.393831730E0,-1.175346772E0,4.712248875E0,6.549235586E0
9.757817917E-1,-5.164557318E0,-2.399971831E0,4.982219499E0,7.566705242E0
9.857847917E-1,-6.640471732E0,-4.186848482E0,3.066813739E0,8.427983836E0
9.957887917E-1,-5.360212170E0,-2.646814086E0,1.367357347E0,6.132468135E0
1.005791792E0,-4.240368631E0,-2.810968526E0,8.465019947E-1,5.157405919E0
1.015794792E0,-4.020289375E0,-3.433894629E0,5.484337449E-1,5.315556278E0
1.025798792E0,-3.312479827E0,-1.423015531E0,-1.650435090E-2,3.605241767E0
1.035801792E0,-1.252261924E0,3.821941879E-1,-1.607168033E0,2.072974049E0
1.045804792E0,3.919107985E-1,5.523861703E-1,-5.847994063E-1,8.948267435E-1
1.055808792E0,-8.717321455E-2,1.080338288E0,9.884764107E-1,1.466906814E0
1.065811792E0,-2.592216879E-1,1.767385250E-1,-3.621531487E-1,4.791526821E-1
1.075814792E0,-7.384419411E-1,-1.432310265E0,7.311598188E-1,1.769577316E0
1.085818792E0,-1.758044323E0,-3.159906967E0,1.766424114E0,4.024423690E0
1.095821792E0,-3.549686163E0,-4.432710159E0,1.932177329E-1,5.682123221E0
1.105824792E0,-4.620726501E0,-5.339393159E0,-1.340871799E-1,7.062450855E0
1.115827792E0,-1.665216851E0,-4.429183996E0,-1.269123393E0,4.899111370E0
1.125831792E0,1.904070933E0,-3.265900907E0,-1.505478521E0,4.069159671E0
1.135834792E0,3.351104779E0,-3.177205954E0,-3.190018666E-1,4.628855486E0
1.145837792E0,2.475278998E0,-3.869984942E0,-2.904359158E-1,4.603057961E0
1.155841792E0,3.503741666E0,-2.244173062E0,5.194490969E-1,4.193130782E0
1.165844792E0,3.864503762E0,-2.738653086E0,-1.817969513E-1,4.740006349E0
1.175847792E0,3.022673693E0,-2.201802675E0,-2.024285594E0,4.252319771E0
1.185851792E0,3.924722482E0,-5.828419778E-1,-2.605865450E0,4.746965986E0
1.195854792E0,3.446882172E0,-9.253604686E-1,-1.895602410E0,4.041113361E0
1.205857792E0,-2.915538669E-1,-1.324570346E0,-1.208211998E-2,1.356331905E0
1.215861792E0,1.972074636E0,-7.321918523E-1,-1.188677546E0,2.416223828E0
1.225864792E0,6.111997458E0,1.017490368E0,-1.134031223E0,6.299033766E0
1.235867792E0,7.014763116E0,3.822113788E0,-3.527046329E-1,7.996240112E0
1.245870792E0,6.145150001E0,4.383571036E0,8.182786542E-1,7.592637455E0
1.255874792E0,4.329282562E0,2.706442822E0,1.710279588E0,5.384475510E0
1.265877792E0,1.549299309E0,3.396922392E-1,2.142581783E0,2.665778660E0
1.275880792E0,-1.083506602E0,-1.573842997E0,-1.539040369E0,2.453490084E0
1.285884792E0,-3.039753410E0,-2.152889255E0,-1.805104469E0,4.139255377E0
1.295887792E0,-5.462034414E0,-1.614994531E0,-8.704000767E-1,5.761911451E0
1.305890792E0,-6.082421656E0,-1.671810756E0,-9.107429411E-1,6.373402319E0
1.315894792E0,-5.317006509E0,-1.805343035E0,-5.339875408E-1,5.640475546E0
1.325897792E0,-4.283137506E0,-1.422645110E0,-3.959675968E-1,4.530560268E0
1.335900792E0,-2.967991117E0,-1.952484709E0,-6.412794165E-1,3.610042534E0
1.345904792E0,-2.485608689E0,-2.775786121E0,-1.747815204E0,4.115591955E0
1.355907792E0,-2.754858352E0,-2.551091657E0,-2.263534362E0,4.384164800E0
1.365910792E0,-2.727279959E0,-1.396769426E0,-1.349027495E0,3.347968935E0
1.375913792E0,-2.296226145E0,-7.177141464E-1,-1.361035922E0,2.764088799E0
1.385917792E0,-2.439360722E0,3.462387818E-1,-1.802749649E0,3.052911450E0
1.395920792E0,-2.892059759E0,1.488418685E0,-2.360735990E0,4.019014089E0
1.405923792E0,-3.760108743E0,2.460194351E0,-3.728873502E0,5.839132778E0
1.415927792E0,-4.635011834E0,2.586144546E0,-3.363740612E0,6.283806905E0
1.425930792E0,-4.923981231E0,2.556428411E0,-2.117980646E0,5.938582272E0
1.435933792E0,-4.984719184E0,3.068941541E0,-1.227407749E0,5.980999691E0
1.445937792E0,-4.154152021E0,3.493811340E0,-1.051164190E-1,5.429064943E0
1.455940792E0,-3.465278682E0,2.230758964E0,4.180253407E0,5.870175504E0
1.465943792E0,-4.378827775E0,-3.441495717E-1,1.746238795E0,4.726724187E0
1.475947792E0,-3.071036013E0,-2.478321304E0,2.661352018E0,4.759845927E0
1.485950792E0,-2.125950547E0,-4.351491457E0,2.915033469E0,5.652659883E0
1.495953792E0,-1.241689134E0,-4.321777661E0,2.525630541E0,5.157360147E0
1.505956792E0,4.939211766E-1,-2.547209106E0,1.315758592E0,2.909201442E0
1.515960792E0,2.272266302E0,-8.167858601E-1,-9.098127222E-1,2.580327979E0
1.525963792E0,3.385286433E0,1.222385575E0,-3.103594480E0,4.752545572E0
1.535966792E0,4.269290422E0,3.179674357E0,-4.047288308E0,6.687130354E0
1.545970792E0,4.225486591E0,3.803969293E0,-5.100664208E0,7.638173517E0
1.555973792E0,4.420985907E0,3.100716480E0,-5.384656456E0,7.625882521E0
1.565976792E0,6.189718063E0,1.987281489E0,-6.707044036E0,9.340574775E0
1.575980792E0,7.111578389E0,1.613099449E0,-6.273278868E0,9.619286084E0
1.585983792E0,6.198863693E0,3.187587978E0,-4.362366693E0,8.222947852E0
1.595986792E0,5.754771758E0,2.643706291E0,-3.645208032E0,7.307128200E0
1.605990792E0,4.842735339E0,1.300495605E0,-3.256840646E0,5.979162599E0
1.615993792E0,3.889266428E0,-7.430039388E-1,-3.311510943E0,5.161836197E0
1.625996792E0,2.639172652E0,-3.829004146E0,-1.758023858E0,4.971634834E0
1.635999792E0,1.280345516E0,-6.353652940E0,3.798444843E-1,6.492493524E0
1.646003792E0,-4.755243744E-1,-7.938627867E0,1.763137833E0,8.145955490E0
1.656006792E0,-2.501915404E0,-9.365594069E0,2.806580483E0,1.009211707E1
1.666009792E0,-4.437908041E0,-9.451357520E0,4.418568960E0,1.133785422E1
1.676013792E0,-5.425222099E0,-7.788000083E0,5.285792903E0,1.086395815E1
1.686016792E0,-5.635275720E0,-5.372000742E0,4.713711848E0,9.101307807E0
1.696019792E0,-5.227493824E0,-2.977128561E0,4.081610295E0,7.269768135E0
1.706023792E0,-4.298158418E0,-4.900598216E-1,2.594684404E0,5.044473369E0
1.716026792E0,-3.680199525E0,1.423260237E0,-3.054412964E-1,3.957629673E0
1.726029792E0,-3.408058706E0,2.647357292E0,-3.022387471E0,5.268604256E0
1.736032792E0,-2.894295442E0,2.991667662E0,-4.012593562E0,5.781689078E0
1.746036792E0,-1.607244924E0,2.744984159E0,-3.654486394E0,4.844940153E0
1.756039792E0,8.433183320E-2,2.187573768E0,-2.345166024E0,3.208176200E0
1.766042792E0,1.481521455E0,1.622495924E0,-1.380167427E0,2.594660088E0
1.776046792E0,2.497072448E0,1.371891278E0,-1.090857722E0,3.050807607E0
1.786049792E0,2.932157040E0,1.174391044E0,-8.673560894E-1,3.275522221E0
1.796052792E0,3.054738069E0,1.162259826E0,-7.912341124E-1,3.362785154E0
1.806056792E0,2.836791877E0,1.152956906E0,-1.254026321E0,3.308969597E0
1.816059792E0,2.558018561E0,1.037073278E0,-2.493449221E0,3.719713559E0
